,id_x,distancia,repeticiones,longitud_x,latitud_x
3,3511,0.011521133160580238,5,-3.71089383291054,40.4397729227919
4,3619,0.014489928473321052,4,-3.71316072017105,40.435189768023
5,3621,0.006734663697181567,5,-3.71433654329022,40.4297448283687
6,4284,0.008081950352534178,4,-3.71172367484345,40.4241831207096
7,4285,0.01082997882890501,7,-3.71146594109062,40.4231557451727
8,4286,0.007752058141689126,4,-3.71141909341181,40.4240440127435
9,4349,0.020472468515022307,3,-3.71443618370974,40.4281465945118
10,4350,0.0365005312746876,1,-3.71518903186489,40.4292036066152
11,4351,0.005068462928095726,1,-3.71485654281725,40.4286052911919
13,4353,0.0025501426520208397,8,-3.712351741331,40.4252782401398
14,4354,0.016295787362003045,7,-3.71294064024038,40.4259110117283
15,4379,0.018807775239274176,5,-3.71309030575484,40.4362350456241
16,4380,0.015979259604901513,5,-3.71343413786757,40.4316572853892
17,4382,0.05396608737651827,4,-3.71296164645848,40.4302454775541
18,4402,0.0032013383856370242,8,-3.71416975359292,40.4301521503887
20,4455,0.0033218833935277398,9,-3.69940778138612,40.4419078523185
21,4456,0.014318857073869531,8,-3.70218762897587,40.4420550078376
23,4458,0.002599819804190093,11,-3.69517624915626,40.4416879195173
24,4460,0.006269339687150255,3,-3.69309342421698,40.4413655018442
25,4462,0.007294672178626174,2,-3.6917490614588,40.4425146736008
26,4466,0.001842713687209068,8,-3.69191190517074,40.4413846010238
27,4468,0.014407737480648814,2,-3.69240448252718,40.4412799685849
29,5450,0.029025652611278704,1,-3.69000557272873,40.4622189743363
30,5451,0.02533210759041395,1,-3.68992960695583,40.4607979896246
31,5452,0.02248125384875342,1,-3.69022215506123,40.457742365885
32,5453,0.0191509942641197,1,-3.69042342835725,40.4556384670118
33,5454,0.0038050085323127567,2,-3.69055932489087,40.4542664825991
34,5455,0.013510121857427693,3,-3.69090299097345,40.4507416438854
35,5456,0.02637884349032023,3,-3.69117086342362,40.447963618378
36,5457,0.00742121207044044,7,-3.69141220550423,40.4457834340806
37,5458,0.03662708946976343,2,-3.69133378582581,40.4442144994266
38,5459,0.017745187450982188,7,-3.69108616952429,40.4472960310326
39,5460,0.012019762285162302,2,-3.69081355869008,40.450109192482
40,5461,0.022225800131500446,4,-3.6904882116275,40.4534783154802
41,5462,0.030123007178683128,1,-3.69037418287382,40.4546535598304
42,5464,0.06531031041753935,1,-3.68976110412642,40.4609549447095
43,5465,0.06825656700911158,4,-3.68910979950553,40.4642755614931
45,5508,0.030087239695623342,1,-3.6904835900811,40.4586116027683
46,5511,0.03785104598676701,1,-3.69038142169276,40.4597094980331
47,5512,0.018664590042016125,2,-3.69018270632836,40.4566148719462
48,5513,0.016973063389127626,3,-3.6897028796139,40.4627485595967
49,7018,0.005457005838465233,9,-3.70660812543735,40.4413765780411
50,7019,0.051842385182979255,2,-3.71128259498894,40.4396974393427
51,7020,0.017119017072193352,4,-3.71084697394956,40.4397268006872
52,7021,0.006417803688487107,8,-3.70881961463933,40.4405473891156
53,7063,0.004881180538834577,6,-3.71495932792405,40.4288768055446
54,7065,0.004807172034412995,1,-3.71499284818243,40.4288055919734
55,7080,0.02011837137117893,2,-3.69153022267877,40.4433183634864
56,7082,0.029456855480919742,3,-3.69195425300521,40.4434721905155
57,10498,0.04156657679925144,1,-3.71371934927115,40.4342874290437
